"phenotype_number","phenotype_name","phenotype_name_short","AIC_1r","AIC_2r","deltaAIC","p","statusCode_2r","statusCode_1r"
33,"larynx_LHEP_hyoidale_epiglottisPetiole_distance","LHEP",3346.34080448891,3348.29922465824,-1.95842016932875,0.838422790714394,"OK","OK"
34,"larynx_LHEA_hyoidale_epiglottisApex_distance","LHEA",3065.36033070281,3067.0277997749,-1.66746907209335,0.564172572805119,"OK","OK"
35,"pharynx_PNNP_nsp_nasopharynx_distance","PNNP",2898.5654721075,2900.30104086632,-1.73556875882059,0.607092046398486,"OK","OK"
36,"pharynx_PPWC_pharynxWall_completeTrace_meanCurvature","PPWC",3333.97218106852,3334.81959283853,-0.847411770012513,0.283007997206075,"OK","OK"
37,"pharynx_PPW2_pharynxWall_toC2Projection_meanCurvature","PPW2",3481.4823971698,3483.48139429215,-1.99899712234901,0.974736620135877,"OK","OK"
38,"pharynx_PPW3_pharynxWall_toC3Projection_meanCurvature","PPW3",3453.53760587011,3455.51839305581,-1.98078718569832,0.889758106412302,"OK","OK"
39,"pharynx_PPW4_pharynxWall_toC4Projection_meanCurvature","PPW4",3316.75309975911,3317.75364801048,-1.00054825137022,0.317443205019884,"OK","OK"
40,"pharynx_PPW5_pharynxWall_toC5Projection_meanCurvature","PPW5",3208.95410870125,3209.7212861462,-0.767177444950903,0.266858819772034,"OK","OK"
41,"pharynx_PPW6_pharynxWall_toC6Projection_meanCurvature","PPW6",3215.41411353003,3216.55486922481,-1.14075569477927,0.353950253805655,"OK","OK"
42,"pharynx_PPW7_pharynxWall_toC7Projection_meanCurvature","PPW7",2875.89854664813,2876.30009880143,-0.401552153296052,0.206123312237506,"OK","OK"
43,"pharynx_PWTP_midsagittalTrace_matlabProcDistance","PWTP",3248.42659364006,3249.99829974481,-1.57170610474577,0.512827297446541,"OK","OK"
44,"hardPalate_HNSL_nsa_nsp_distance","HNSL",2715.46190453852,2713.63574961292,1.82615492560444,0.0504585621168757,"OK","OK"
